X Targetposition, Y Targetposition,Z Targetposition,X Targetrotation,Y Targetrotation,Z Targetrotation,X Rotation,Y Rotation,Z Rotation,X position,Y position,Z position,FramesFromStart,TimeFromStart,VIMS Scale,VIMS Count,ISwait
121.3711,0.2324369,56.37782,0.1413996,-0.8189861,0.2284308,0.1140228,-0.5031642,-0.05493917,116.605,-2.015913,54.08614,1534,37.29002,0,1,False
125.2672,0.1951656,55.1841,0.1664927,-0.7504262,0.206832,0.07020772,-0.6698373,-0.06432199,120.0101,-2.019862,54.20814,1550,37.62003,0,1,False
128.7329,0.02778983,53.85323,0.1814026,-0.6695561,0.1742649,0.0694462,-0.6889856,-0.07231303,123.2527,-2.020645,54.33876,1565,37.95003,0,1,False
131.9842,-0.2790709,52.47176,0.1821193,-0.5781667,0.134432,0.08088531,-0.7163081,-0.07110396,126.6009,-2.019923,54.47089,1580,38.28003,0,1,False
134.916,-0.6899853,51.33494,0.1671577,-0.4942383,0.09722238,0.1022334,-0.7911722,-0.03977036,129.8778,-2.022006,54.58878,1595,38.61003,0,1,False
137.5237,-1.17604,52.55375,0.1322691,-0.5187875,0.08123016,0.1070995,-0.7508639,-0.02250984,132.1321,-2.023355,55.66952,1610,38.94003,0,1,False
138.3353,-1.730653,58.56047,0.08034025,-0.6968805,0.07880233,0.1047766,-0.5564161,0.01066766,131.9474,-2.024325,59.04213,1625,39.27003,0,1,False
137.9905,-2.32795,64.3754,0.03875999,-0.8221598,0.05497452,0.0912399,-0.4139727,0.03028736,131.8078,-2.025043,62.40355,1640,39.60004,0,1,False
136.4665,-2.92234,70.02862,-0.009488371,0.925531,-0.02055633,0.07654477,-0.322494,0.03966619,131.7195,-2.026205,65.65956,1654,39.93004,0,1,False
133.5945,-3.626513,75.09319,0.003839956,0.9900705,0.02987123,0.03276388,-0.205349,0.04135138,131.6505,-2.030498,69.07396,1668,40.26004,0,1,False
130.5999,-4.281016,78.35783,-0.006167333,0.9929225,0.0791126,-0.004574456,-0.02178398,0.02164266,131.5883,-2.033627,72.26365,1679,40.59004,0,1,False
128.3473,-4.840145,80.7729,-0.03189221,0.9549282,0.1176231,-0.01955481,0.1716664,0.006193152,131.5262,-2.035148,75.64928,1691,40.92004,0,1,False
127.4356,-5.258739,83.2537,-0.05548388,0.920851,0.1437991,-0.07400865,0.3038316,-0.03814853,131.4688,-2.044927,78.95289,1704,41.25005,0,1,False
127.5042,-5.597971,86.30346,-0.06538444,0.9167436,0.1684092,-0.09174274,0.3483845,-0.06878856,131.431,-2.050572,82.08123,1716,41.58005,0,1,False
128.079,-5.847769,90.04897,-0.06225267,0.9312852,0.1905404,-0.08883404,0.3393468,-0.07094464,131.4131,-2.050017,85.46989,1729,41.91005,0,1,False
129.0451,-5.953491,93.86737,-0.04653065,0.9534222,0.2036596,-0.1032513,0.2660964,-0.05807744,131.4112,-2.049984,88.76132,1742,42.24005,0,1,False
130.4111,-5.912529,97.78052,-0.02163578,0.9733344,0.2044844,-0.1333963,0.1938888,-0.05074369,131.4084,-2.05404,92.19473,1755,42.57005,0,1,False
131.8721,-5.753924,101.115,0.00274961,0.9810582,0.1929679,-0.149224,0.08154538,-0.06068101,131.4109,-2.056459,95.34082,1766,42.90005,0,1,False
133.4132,-5.467419,104.2348,0.02401931,0.9753935,0.168702,-0.1328574,-0.02485749,-0.04835577,131.4168,-2.05278,98.60235,1778,43.23006,0,1,False
134.8068,-5.053401,107.2021,0.03554425,0.9574232,0.1335979,-0.1003727,-0.1262972,-0.02382693,131.4247,-2.047013,102.0187,1791,43.56006,0,1,False
135.7368,-4.585429,109.9252,0.03461149,0.9374233,0.09639991,-0.05038306,-0.2215306,-0.0163375,131.4293,-2.039555,105.2383,1804,43.89006,0,1,False
